FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
4,25446,3001,184933,82304,8.4499998,25.3500004,44.5400009,57.3499985,38.4399986,44.6500015,33.7999992,50.5099983,135.6900024,174.1300049,218.7700043,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1537.8699951,4613.6098633,5808.9799805,4792.4501953,2003.9300537,1231.2299805,6151.4799805,9034.5195313,16752.9003906,18756.8007813,19988.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7400000,0.4300000,0.0000000,0.7400000,85,150,175,0,100,100,184933,0.0136100
6,25485,3001,184933,82304,8.4499998,25.3500004,44.5400009,57.3499985,38.4399986,44.6500015,33.7999992,50.5099983,135.6900024,174.1300049,218.7700043,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1537.8699951,4613.6098633,5808.9799805,4792.4501953,2003.9300537,1231.2299805,6151.4799805,9034.5195313,16752.9003906,18756.8007813,19988.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7400000,0.4300000,0.0000000,0.7400000,85,150,175,0,100,100,184933,0.0029596
8,25513,3001,184933,82304,8.4499998,25.3500004,44.5400009,57.3499985,38.4399986,44.6500015,33.7999992,50.5099983,135.6900024,174.1300049,218.7700043,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1537.8699951,4613.6098633,5808.9799805,4792.4501953,2003.9300537,1231.2299805,6151.4799805,9034.5195313,16752.9003906,18756.8007813,19988.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7400000,0.4300000,0.0000000,0.7400000,85,150,175,0,100,100,184933,0.0272395
10,25529,3001,184933,82304,8.4499998,25.3500004,44.5400009,57.3499985,38.4399986,44.6500015,33.7999992,50.5099983,135.6900024,174.1300049,218.7700043,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1537.8699951,4613.6098633,5808.9799805,4792.4501953,2003.9300537,1231.2299805,6151.4799805,9034.5195313,16752.9003906,18756.8007813,19988.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7400000,0.4300000,0.0000000,0.7400000,85,150,175,0,100,100,184933,0.0186661
13,25554,3016,184948,82316,7.0999999,21.2999992,34.7999992,43.6599998,42.2000008,44.0299988,28.3999996,42.3100014,106.8600006,149.0599976,193.1000061,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1456.6099854,4369.8100586,5879.2500000,3229.1398926,1986.1600342,1858.8800049,5826.4199219,8506.3896484,14934.7998047,16921.0000000,18779.8007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.5700000,0.3000000,0.0000000,0.5700000,80,150,139,1,95,100,184948,0.0141220
22,25660,3044,184976,82340,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,184976,0.0001000
23,25661,3044,184976,82340,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,184976,0.0020045
29,25754,2995,184927,82286,10.2600002,30.7800007,52.2200012,83.2699966,63.3400002,36.7400017,41.0400009,59.2999992,176.5299988,239.8699951,276.6099854,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1891.3100586,5673.9399414,4343.1801758,5133.6201172,2813.6101074,1375.4100342,7565.2500000,9653.3398438,17042.0000000,19855.6992188,21231.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7900000,0.2700000,0.0000000,0.7900000,80,150,247,0,92,100,184927,0.0287809
33,25788,3001,184933,82304,8.4499998,25.3500004,44.5400009,57.3499985,38.4399986,44.6500015,33.7999992,50.5099983,135.6900024,174.1300049,218.7700043,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1537.8699951,4613.6098633,5808.9799805,4792.4501953,2003.9300537,1231.2299805,6151.4799805,9034.5195313,16752.9003906,18756.8007813,19988.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7400000,0.4300000,0.0000000,0.7400000,85,150,175,0,100,100,184933,0.0083174
50,25917,3001,184933,82304,8.4499998,25.3500004,44.5400009,57.3499985,38.4399986,44.6500015,33.7999992,50.5099983,135.6900024,174.1300049,218.7700043,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1537.8699951,4613.6098633,5808.9799805,4792.4501953,2003.9300537,1231.2299805,6151.4799805,9034.5195313,16752.9003906,18756.8007813,19988.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7400000,0.4300000,0.0000000,0.7400000,85,150,175,0,100,100,184933,0.0074549
52,25938,3001,184933,82304,8.4499998,25.3500004,44.5400009,57.3499985,38.4399986,44.6500015,33.7999992,50.5099983,135.6900024,174.1300049,218.7700043,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1537.8699951,4613.6098633,5808.9799805,4792.4501953,2003.9300537,1231.2299805,6151.4799805,9034.5195313,16752.9003906,18756.8007813,19988.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7400000,0.4300000,0.0000000,0.7400000,85,150,175,0,100,100,184933,0.0114082
