FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
26,124179,3377,242528,79312,11.2700005,33.8100014,55.3699989,78.9899979,44.9799995,0.9800000,45.0800018,65.1699982,179.4400024,224.4199982,225.3999939,4.9000001,14.6999998,29.3999996,49.0000000,49.0000000,1.9600000,19.6000004,29.3999996,98.0000000,147.0000000,148.9600067,98.0000000,2403.3300781,7209.9799805,5019.6601563,4988.4301758,2331.5000000,28.5000000,9613.3095703,12539.9003906,19621.4003906,21952.9003906,21981.4003906,4.9000001,14.6999998,29.3999996,49.0000000,49.0000000,1.9600000,19.6000004,29.3999996,98.0000000,147.0000000,148.9600067,98.0000000,0.7800000,0.4900000,0.0000000,0.7800000,98,150,229,0,100,100,242528,0.0013663
29,124189,172,159809,81976,11.0000000,33.0000000,57.2000008,45.9000015,39.0000000,0.6000000,44.0000000,65.1999969,147.1000061,186.1000061,186.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2022.7500000,6068.2500000,6159.2597656,3197.8200684,2616.1699219,22.8299999,8091.0000000,11593.0996094,17448.0996094,20064.3007813,20087.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7300000,0.4500000,0.0000000,0.7300000,100,150,186,0,100,100,159809,0.0006576
36,124280,172,159809,81976,11.0000000,33.0000000,57.2000008,45.9000015,39.0000000,0.6000000,44.0000000,65.1999969,147.1000061,186.1000061,186.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2022.7500000,6068.2500000,6159.2597656,3197.8200684,2616.1699219,22.8299999,8091.0000000,11593.0996094,17448.0996094,20064.3007813,20087.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7300000,0.4500000,0.0000000,0.7300000,100,150,186,0,100,100,159809,0.0023414
74,124545,171,159808,81975,11.0000000,33.0000000,62.5999985,97.3000031,88.0000000,4.0000000,44.0000000,66.0000000,203.8999939,291.8999939,295.8999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1573.2500000,4719.7500000,6314.4399414,5934.3398438,2776.1799316,48.0299988,6293.0000000,9439.5000000,18541.8007813,21318.0000000,21366.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.9300000,0.5200000,0.0000000,0.9300000,100,150,292,0,100,100,159808,0.0075100
88,124620,176,159813,81980,10.0000000,30.0000000,33.0000000,50.0000000,50.0000000,2.0000000,40.0000000,53.0000000,123.0000000,173.0000000,175.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1305.0000000,3915.0000000,4658.8500977,7177.5000000,7177.5000000,287.1000061,5220.0000000,7007.8500977,17056.3007813,24233.8007813,24520.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5600000,0.2700000,0.1000000,0.5600000,100,23,46,1,100,100,159813,0.0056836
166,124976,451,160472,83568,11.0000000,33.0000000,62.4000015,95.0000000,91.4000015,3.5999999,44.0000000,66.0000000,201.3999939,292.7999878,296.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2245.2299805,6735.6801758,9584.1103516,6255.3798828,3810.3999023,114.3799973,8980.9101563,13471.4003906,24820.4003906,28630.8007813,28745.1992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8000000,0.6300000,0.0000000,0.8000000,100,150,293,0,100,100,160472,0.0304660
185,125028,171,159808,81975,11.0000000,33.0000000,62.5999985,97.3000031,88.0000000,4.0000000,44.0000000,66.0000000,203.8999939,291.8999939,295.8999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1573.2500000,4719.7500000,6314.4399414,5934.3398438,2776.1799316,48.0299988,6293.0000000,9439.5000000,18541.8007813,21318.0000000,21366.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.9300000,0.5200000,0.0000000,0.9300000,100,150,292,0,100,100,159808,0.0040171
224,125207,430,160451,83547,20.0000000,60.0000000,120.0000000,200.0000000,94.4000015,59.4000015,80.0000000,120.0000000,400.0000000,494.3999939,553.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,33.0000000,20.0000000,30.0000000,100.0000000,150.0000000,183.0000000,100.0000000,10092.0000000,30276.0000000,60552.0000000,100920.0000000,25748.9003906,14927.0996094,40368.0000000,60552.0000000,201840.0000000,227589.0000000,242516.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,33.0000000,20.0000000,30.0000000,100.0000000,150.0000000,183.0000000,100.0000000,0.9400000,0.5600000,0.0000000,0.9400000,100,150,494,0,100,100,160451,0.1002330
251,125348,430,160451,83547,20.0000000,60.0000000,120.0000000,200.0000000,94.4000015,59.4000015,80.0000000,120.0000000,400.0000000,494.3999939,553.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,33.0000000,20.0000000,30.0000000,100.0000000,150.0000000,183.0000000,100.0000000,10092.0000000,30276.0000000,60552.0000000,100920.0000000,25748.9003906,14927.0996094,40368.0000000,60552.0000000,201840.0000000,227589.0000000,242516.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,33.0000000,20.0000000,30.0000000,100.0000000,150.0000000,183.0000000,100.0000000,0.9400000,0.5600000,0.0000000,0.9400000,100,150,494,0,100,100,160451,0.0419567
259,125371,430,160451,83547,20.0000000,60.0000000,120.0000000,200.0000000,94.4000015,59.4000015,80.0000000,120.0000000,400.0000000,494.3999939,553.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,33.0000000,20.0000000,30.0000000,100.0000000,150.0000000,183.0000000,100.0000000,10092.0000000,30276.0000000,60552.0000000,100920.0000000,25748.9003906,14927.0996094,40368.0000000,60552.0000000,201840.0000000,227589.0000000,242516.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,33.0000000,20.0000000,30.0000000,100.0000000,150.0000000,183.0000000,100.0000000,0.9400000,0.5600000,0.0000000,0.9400000,100,150,494,0,100,100,160451,0.0777982
