FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
944,21299,568,161179,83686,19.0000000,57.0000000,114.0000000,175.6600037,161.2500000,170.9299927,76.0000000,114.0000000,365.6700134,526.9099731,697.8400269,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,50.3499985,19.0000000,28.5000000,95.0000000,142.5000000,192.8500061,95.0000000,4132.5000000,12397.5000000,24795.0000000,41534.3984375,39497.1015625,41867.0000000,16530.0000000,24795.0000000,82859.5000000,122357.0000000,164224.0000000,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,50.3499985,19.0000000,28.5000000,95.0000000,142.5000000,192.8500061,95.0000000,0.1000000,0.1500000,0.0000000,0.1500000,75,150,600,0,100,100,161179,0.0148535
950,21340,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0042824
951,21355,617,161228,83735,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,161228,0.0141286
953,21375,625,161236,83743,11.5000000,34.5000000,67.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,218.1999969,306.0000000,309.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,9317.7001953,7612.5000000,5742.0000000,217.5000000,10092.0000000,13876.5000000,27022.1992188,32764.1992188,32981.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.9000000,0.1900000,0.0000000,0.9000000,100,150,306,0,100,100,161236,0.0643950
954,21383,610,161221,83728,10.5000000,31.5000000,41.4000015,65.0000000,32.2000008,1.0000000,42.0000000,57.4000015,148.3999939,180.6000061,181.6000061,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2102.5000000,6307.5000000,5499.5200195,7848.1899414,4337.0097656,142.6499939,8410.0000000,10770.2998047,21757.6992188,26094.6992188,26237.4003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6100000,0.2300000,0.0000000,0.6100000,100,109,160,0,100,100,161221,0.0052857
958,21404,569,161180,83685,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,161180,0.0023399
959,21405,628,161239,83745,10.5000000,31.5000000,50.5000000,65.5999985,60.0000000,2.4000001,42.0000000,60.5000000,158.1000061,218.1000061,220.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1261.5000000,3784.5000000,8567.5000000,6554.2797852,3420.7299805,136.8300018,5046.0000000,7768.7001953,20167.8007813,23588.5000000,23725.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7200000,0.2700000,0.0000000,0.7200000,100,64,115,1,100,100,161239,0.0007400
960,21411,569,161180,83685,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,161180,0.0001000
966,21439,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0076700
967,21443,629,161240,83747,9.0000000,27.0000000,49.2000008,70.0000000,37.0000000,0.8000000,36.0000000,54.0000000,155.1999969,192.1999969,193.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1479.6500244,4438.9399414,7697.0800781,4205.9599609,2593.7600098,101.5599976,5918.5800781,9300.6298828,17821.5996094,20415.4003906,20516.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7100000,0.2300000,0.0000000,0.7100000,100,150,192,0,100,100,161240,0.0331071
972,21463,628,161239,83745,10.5000000,31.5000000,50.5000000,65.5999985,60.0000000,2.4000001,42.0000000,60.5000000,158.1000061,218.1000061,220.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1261.5000000,3784.5000000,8567.5000000,6554.2797852,3420.7299805,136.8300018,5046.0000000,7768.7001953,20167.8007813,23588.5000000,23725.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7200000,0.2700000,0.0000000,0.7200000,100,64,115,1,100,100,161239,0.0045480
980,21496,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0077249
982,21519,625,161236,83743,11.5000000,34.5000000,67.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,218.1999969,306.0000000,309.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,9317.7001953,7612.5000000,5742.0000000,217.5000000,10092.0000000,13876.5000000,27022.1992188,32764.1992188,32981.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.9000000,0.1900000,0.0000000,0.9000000,100,150,306,0,100,100,161236,0.0094293
999,21568,617,161228,83735,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,161228,0.0007000
1002,21571,617,161228,83735,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,161228,0.0174322
1006,21581,617,161228,83735,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,161228,0.0001000
1014,21603,609,161220,83727,11.5000000,34.5000000,63.0000000,81.5999985,65.1999969,2.5999999,46.0000000,69.0000000,190.6000061,255.8000031,258.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1682.0000000,5046.0000000,8117.1000977,4615.3500977,3688.8000488,147.8999939,6728.0000000,10512.5000000,19460.4003906,23149.3007813,23297.1992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7800000,0.2700000,0.0000000,0.7800000,100,102,193,0,100,100,161220,0.0033358
1016,21611,617,161228,83735,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,161228,0.0094884
1024,21632,607,161218,83724,20.0000000,60.0000000,120.0000000,172.9400024,90.2500000,95.6600037,80.0000000,120.0000000,372.9400024,463.1900024,558.8499756,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,5437.5000000,16312.5000000,26752.5000000,37581.3984375,12548.7998047,13301.7001953,21750.0000000,31102.5000000,86083.8984375,98632.7031250,111934.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.6100000,0.0000000,0.9000000,80,150,466,0,100,100,161218,0.0040884
1036,21665,617,161228,83735,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,161228,0.0779319
1038,21668,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0455735
1044,21683,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0046028
1053,21725,617,161228,83735,10.3000002,30.8999996,57.2799988,85.8700027,69.7799988,69.4599991,41.2000008,61.5200005,184.3500061,254.1300049,323.5799866,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,1895.9100342,5687.7299805,8074.6298828,7040.7202148,3214.2199707,2807.3601074,7583.6499023,11166.0000000,22699.0000000,25913.1992188,28720.5996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.7500000,20.0000000,30.0000000,100.0000000,150.0000000,203.7500000,100.0000000,0.8000000,0.2800000,0.0000000,0.8000000,75,150,263,0,95,100,161228,0.0215700
1074,21785,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0064071
1090,21859,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0010399
1093,21874,625,161236,83743,11.5000000,34.5000000,67.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,218.1999969,306.0000000,309.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,9317.7001953,7612.5000000,5742.0000000,217.5000000,10092.0000000,13876.5000000,27022.1992188,32764.1992188,32981.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.9000000,0.1900000,0.0000000,0.9000000,100,150,306,0,100,100,161236,0.0219260
1094,21878,627,161238,83744,10.5000000,31.5000000,63.0000000,173.3999939,200.0000000,8.0000000,42.0000000,63.0000000,278.3999939,478.3999939,486.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2943.5000000,8830.5000000,5739.8198242,49562.3984375,65975.0000000,2639.0000000,11774.0000000,14570.2998047,67076.2968750,133051.0000000,135690.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.3800000,0.2900000,0.0000000,0.3800000,100,150,478,0,100,100,161238,0.0118389
1106,21915,578,161189,83695,20.0000000,60.0000000,33.5999985,13.7900000,25.4599991,39.7500000,80.0000000,97.5999985,127.3899994,152.8500061,192.6000061,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9787.5000000,29362.5000000,22989.8007813,35000.5000000,16469.3007813,1424.3599854,39150.0000000,49379.8007813,97140.2031250,113610.0000000,115034.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.4900000,0.2100000,0.0000000,0.4900000,80,150,114,1,100,100,161189,0.0585999
1118,21947,623,161234,83741,10.0000000,30.0000000,46.9599991,61.3199997,48.0000000,1.9200000,40.0000000,58.1599998,148.2799988,196.2799988,198.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1689.7199707,5069.1699219,4571.7099609,4421.2402344,2915.4699707,116.6200027,6758.8999023,9324.2998047,15751.7998047,18667.3007813,18783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6500000,0.2300000,0.0000000,0.6500000,100,150,196,0,100,100,161234,0.0702533
1128,21980,590,161201,83707,11.5000000,34.5000000,59.4000015,76.8000031,90.0000000,3.5999999,46.0000000,69.0000000,182.1999969,272.2000122,275.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2102.5000000,6307.5000000,8552.0996094,5202.6000977,3480.0000000,139.1999969,8410.0000000,12194.5000000,22164.6992188,25644.6992188,25783.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7700000,0.2700000,0.0000000,0.7700000,100,150,272,0,100,100,161201,0.0001000
1129,21981,625,161236,83743,11.5000000,34.5000000,67.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,218.1999969,306.0000000,309.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,9317.7001953,7612.5000000,5742.0000000,217.5000000,10092.0000000,13876.5000000,27022.1992188,32764.1992188,32981.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.9000000,0.1900000,0.0000000,0.9000000,100,150,306,0,100,100,161236,0.5191100
