FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
0,65607,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0002349
6,65628,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0012022
8,65635,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0135684
9,65652,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0009412
10,65673,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0011049
12,66016,1228,162423,78181,11.5000000,34.5000000,59.0000000,90.0000000,78.3000031,25.2000008,46.0000000,69.0000000,195.0000000,273.2999878,298.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,28.0000000,20.0000000,30.0000000,100.0000000,150.0000000,178.0000000,100.0000000,1682.0000000,5046.0000000,5526.6401367,5406.5898438,4841.3798828,1810.3199463,6728.0000000,10092.0000000,17661.1992188,22502.5996094,24312.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,28.0000000,20.0000000,30.0000000,100.0000000,150.0000000,178.0000000,100.0000000,0.9200000,0.4900000,0.0000000,0.9200000,100,150,273,0,100,100,162423,0.0149412
13,66021,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0000641
14,66032,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0002000
21,66058,2182,165160,78105,11.5000000,34.5000000,59.0000000,90.0000000,86.0000000,47.7000008,46.0000000,69.0000000,195.0000000,281.0000000,328.7000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1892.2500000,5676.7500000,5959.5000000,5437.5000000,5024.5600586,3698.9199219,7569.0000000,11353.5000000,18966.0000000,23990.5996094,27689.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9400000,0.4800000,0.0000000,0.9400000,100,150,281,0,100,100,165160,0.0000641
27,66082,1228,162423,78181,11.5000000,34.5000000,59.0000000,90.0000000,78.3000031,25.2000008,46.0000000,69.0000000,195.0000000,273.2999878,298.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,28.0000000,20.0000000,30.0000000,100.0000000,150.0000000,178.0000000,100.0000000,1682.0000000,5046.0000000,5526.6401367,5406.5898438,4841.3798828,1810.3199463,6728.0000000,10092.0000000,17661.1992188,22502.5996094,24312.9003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,28.0000000,20.0000000,30.0000000,100.0000000,150.0000000,178.0000000,100.0000000,0.9200000,0.4900000,0.0000000,0.9200000,100,150,273,0,100,100,162423,0.0012734
