FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
77,12450,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0070899
80,12471,1314,162603,82952,20.0000000,60.0000000,113.1999969,136.1699982,40.6500015,43.0900002,80.0000000,120.0000000,329.3699951,370.0199890,413.1099854,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9787.5000000,29362.5000000,27670.3007813,30771.5996094,8388.5703125,8891.8896484,39150.0000000,51112.5000000,97592.0000000,105981.0000000,114872.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7900000,0.3200000,0.0000000,0.7900000,75,150,382,0,100,100,162603,0.0004267
86,12501,1314,162603,82952,20.0000000,60.0000000,113.1999969,136.1699982,40.6500015,43.0900002,80.0000000,120.0000000,329.3699951,370.0199890,413.1099854,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9787.5000000,29362.5000000,27670.3007813,30771.5996094,8388.5703125,8891.8896484,39150.0000000,51112.5000000,97592.0000000,105981.0000000,114872.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7900000,0.3200000,0.0000000,0.7900000,75,150,382,0,100,100,162603,0.0085437
88,12518,1340,162633,82982,20.0000000,60.0000000,120.0000000,104.5999985,30.0000000,1.2000000,80.0000000,120.0000000,304.6000061,334.6000061,335.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,8482.5000000,25447.5000000,50895.0000000,28945.6992188,1163.1800537,46.5299988,33930.0000000,50895.0000000,113771.0000000,114934.0000000,114980.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7500000,0.5700000,0.0000000,0.7500000,100,150,335,0,100,100,162633,0.0512531
89,12541,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0021057
92,12553,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0001000
93,12564,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0003830
95,12581,1340,162633,82982,20.0000000,60.0000000,120.0000000,104.5999985,30.0000000,1.2000000,80.0000000,120.0000000,304.6000061,334.6000061,335.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,8482.5000000,25447.5000000,50895.0000000,28945.6992188,1163.1800537,46.5299988,33930.0000000,50895.0000000,113771.0000000,114934.0000000,114980.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7500000,0.5700000,0.0000000,0.7500000,100,150,335,0,100,100,162633,0.2139510
96,12589,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0305670
97,12599,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0498941
100,12636,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0002000
103,12650,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0523004
104,12660,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0001000
108,12712,1314,162603,82952,20.0000000,60.0000000,113.1999969,136.1699982,40.6500015,43.0900002,80.0000000,120.0000000,329.3699951,370.0199890,413.1099854,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9787.5000000,29362.5000000,27670.3007813,30771.5996094,8388.5703125,8891.8896484,39150.0000000,51112.5000000,97592.0000000,105981.0000000,114872.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7900000,0.3200000,0.0000000,0.7900000,75,150,382,0,100,100,162603,0.2215410
109,12713,1314,162603,82952,20.0000000,60.0000000,113.1999969,136.1699982,40.6500015,43.0900002,80.0000000,120.0000000,329.3699951,370.0199890,413.1099854,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9787.5000000,29362.5000000,27670.3007813,30771.5996094,8388.5703125,8891.8896484,39150.0000000,51112.5000000,97592.0000000,105981.0000000,114872.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7900000,0.3200000,0.0000000,0.7900000,75,150,382,0,100,100,162603,0.0060341
112,12784,1322,162614,82963,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,162614,0.0611855
115,12832,1322,162614,82963,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,162614,0.0265111
117,12842,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0200908
122,12863,1322,162614,82963,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,162614,0.1299070
124,12919,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0128772
127,12928,1314,162603,82952,20.0000000,60.0000000,113.1999969,136.1699982,40.6500015,43.0900002,80.0000000,120.0000000,329.3699951,370.0199890,413.1099854,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9787.5000000,29362.5000000,27670.3007813,30771.5996094,8388.5703125,8891.8896484,39150.0000000,51112.5000000,97592.0000000,105981.0000000,114872.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.7900000,0.3200000,0.0000000,0.7900000,75,150,382,0,100,100,162603,0.0479284
128,12988,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0255502
130,13030,1322,162614,82963,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,162614,0.0088308
132,13064,1340,162633,82982,20.0000000,60.0000000,120.0000000,104.5999985,30.0000000,1.2000000,80.0000000,120.0000000,304.6000061,334.6000061,335.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,8482.5000000,25447.5000000,50895.0000000,28945.6992188,1163.1800537,46.5299988,33930.0000000,50895.0000000,113771.0000000,114934.0000000,114980.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7500000,0.5700000,0.0000000,0.7500000,100,150,335,0,100,100,162633,0.1639550
133,13065,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0085723
134,13098,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0002000
137,13110,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0047869
140,13144,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0002000
141,13179,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0018373
142,13192,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0001000
144,13213,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0316094
146,13255,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0099185
